latencia_red,latencia_fog,latencia_blockchain
14,0,1860
15,0,4889
14,0,3901
15,0,2911
16,0,5866
17,0,1870
16,0,4872
14,0,2882
16,5,3904
21,0,4856
14,0,3880
16,0,1907
17,0,2907
24,0,5903
19,0,5881
17,0,3889
14,0,1902
16,0,2917
14,0,4950
13,0,5861
15,0,2859
25,0,4854
15,0,1867
15,0,3903
17,0,3971
15,0,2993
20,0,2052
16,0,6062
45,1,5035
14,0,1927
16,0,5930
11,0,4940
9,0,2943
14,0,3936
19,1,4937
14,0,1952
16,0,3956
15,0,5956
21,0,2956
15,0,2000
15,0,4007
11,0,5009
19,1,6010
17,0,1016
17,6,3063
14,0,2879
18,2,4877
15,1,1908
21,0,3907
34,0,1814
15,1,2897
41,3,3874
19,0,5897
16,0,4930
16,0,5026
17,0,6044
20,0,4075
15,1,3089
16,0,2090
14,0,4850
15,0,3871
14,0,5903
15,0,2926
15,0,1939
13,0,3851
16,0,1851
16,0,5907
15,1,2912
18,0,4908
15,1,2965
16,0,4000
17,0,2002
15,0,5012
13,1,6015
14,1,1898
16,1,3902
23,4,4895
14,2,5912
28,0,2903
13,1,3973
15,0,1975
14,0,3024
14,0,5033
14,0,3909
19,1,2908
12,0,4923
13,1,1921
16,0,5922
17,1,1877
16,0,3883
15,0,5886
14,1,2887
18,0,4925
21,0,4056
18,0,5103
16,0,3105
16,1,2107
15,1,6114
16,1,1866
17,5,5877
40,1,3863
17,0,4893
13,1,2894
17,0,2832
16,1,4855
12,0,1869
16,1,3892
15,0,5916
17,0,2998
19,0,4001
18,0,2004
15,0,5008
14,0,6042
16,1,3898
21,1,1897
19,1,2901
21,2,4902
21,1,2847
17,0,4863
16,0,3871
13,0,5871
15,0,1874
32,0,2950
23,1,4959
15,0,5970
14,1,3981
22,3,2000
17,1,3846
16,0,5903
24,1,1899
40,0,4883
16,1,2924
18,5,5807
12,0,4819
15,0,1886
15,0,3896
15,1,2915
15,0,1964
15,0,2970
24,2,5984
18,0,4993
15,0,4058
15,0,2845
15,0,4851
15,0,5851
15,0,1865
15,0,3883
17,0,2879
18,0,5882
17,3,1881
17,0,3884
12,0,4918
20,0,2945
15,0,4950
18,1,5963
15,1,3973
17,1,1974
12,0,4995
16,3,3992
16,0,3067
17,1,2069
21,0,6068
20,0,1815
15,0,3855
16,0,2876
13,0,4915
23,0,5906
17,0,3938
11,1,2945
16,1,4976
12,0,5985
17,3,1983
16,1,3835
19,4,2849
15,0,1895
13,1,4922
18,1,5926
23,1,4879
15,0,5923
18,1,2909
19,0,3924
21,1,1923
18,2,5847
16,1,869
57,3,2856
16,5,1899
20,3,3896
44,0,4885
55,0,5784
18,0,4859
18,0,1892
14,1,2897
15,0,3900
19,5,3953
19,1,5963
20,0,2965
16,0,1992
15,0,5029
17,5,2846
16,1,1854
18,0,5856
15,1,3915
12,0,4922
17,0,4826
28,0,3836
16,0,2901
18,0,1906
15,1,5909
16,0,1944
16,1,5958
48,0,3936
19,0,4969
17,0,2989
13,0,4840
17,0,1866
16,1,5876
55,0,2867
16,0,3911
17,0,1835
14,0,2881
16,0,5895
17,0,3894
61,0,4859
16,0,3942
16,0,1945
15,1,5955
42,0,2957
16,0,4984
16,0,3889
20,0,4890
28,0,2891
19,1,5897
16,0,1933
16,0,2832
15,2,5848
18,0,1858
20,0,3866
44,0,4860
20,0,2986
24,1,4987
16,1,5992
18,1,3998
19,1,2004
16,1,5834
16,0,2848
16,0,3862
21,0,1876
20,3,4913
16,0,4824
16,0,2825
17,0,5866
33,0,1896
16,0,3914
17,0,4960
21,0,2973
51,0,5941
16,0,1981
19,0,4027
16,0,5844
20,0,2844
17,1,1863
34,0,3890
15,0,4917
48,0,3800
18,0,5830
16,0,2846
17,0,1907
19,0,1931
16,0,3938
18,1,4940
14,1,5945
16,1,2955
14,1,2849
20,1,1893
27,1,5889
16,0,3907
16,0,4912
20,0,3814
33,0,2822
17,0,1866
18,0,4880
17,0,5901
19,0,4895
17,1,1917
61,1,2897
16,0,3974
15,1,5987
37,0,1836
73,1,2812
17,1,5869
16,1,3893
13,0,4897
14,3,5887
16,0,4896
16,0,3903
