latencia_red,latencia_fog,latencia_blockchain
-21,0,1961
23,0,1843
26,0,5934
18003,1,5322
16707,1,5359
23,0,1939
-21,0,1076
-21,4,5949
19,0,990
34,0,2843
-17,0,2872
70,1,1811
-16,2,2930
19,1,2810
-22,1,5846
27,2,5860
-22,1,5874
-25,0,2940
-24,0,1524
24,3,1907
-21,0,6096
-16,0,3066
22,4,3022
22,0,6034
-25,0,3128
22,0,2030
-21,0,2776
-17,3,6020
39,14,4893
-13,1,6025
24,0,1926
22,3,1844
-23,0,5785
-20,4,5785
-18,0,2907
53,0,5836
22,1,2894
-24,0,2843
23,1,2976
-21,0,1068
50,0,1963
24,5,6010
-21,0,6122
-16,1,6073
-18,3,3143
-18,1,5919
-23,1,2785
-22,1,2798
-25,0,2851
55,1,1895
35,0,5925
22,1,1817
-23,2,2917
-24,0,5914
20,5,5895
-10,0,5850
32,1,2899
-25,1,3023
21,5,2987
27,0,1987
-25,1,1134
20,0,6072
-16,2,3126
-12,0,3126
-24,8,6204
-24,0,6230
30,1,4821
31,0,1826
-18,3,2614
-18,0,2696
-20,2,5890
19,0,5898
-15,3,2698
-20,0,2845
20,0,5812
23,2,1871
-24,0,2970
26,0,2897
-11,2,5708
-20,1,5791
-23,0,6040
-24,0,3034
-23,0,3031
32,2,3039
59,1,6043
23,1,2089
-14,2,6211
-16,0,2821
-21,0,2747
-15,2,6020
24,0,1910
-8,1,5940
28,0,5914
34,5,2815
-17,2,5818
24,1,1843
-25,0,2924
-17,4,5835
-22,3,2929
26,2,5911
20,3,5947
26,0,1948
-18,6,6017
-10,0,6092
-23,1,3049
-23,0,3137
27,0,3070
22,0,1869
21,0,5878
-25,0,5965
-2,0,2751
-24,1,5990
-22,0,2852
52,1,2778
-20,0,2869
-19,0,2870
-14,3,5802
31,0,1858
-15,0,5797
36,0,5898
-20,0,3099
19,0,2990
-20,0,3125
-21,1,6074
27,0,2014
40,1,6003
-22,1,6080
-11,2,2745
37,1,5935
45,0,5948
91,0,5817
22,1,1890
-6,9,2763
-10,2,2852
-14,3,2848
-23,1,2924
-22,0,2937
23,1,5881
23,2,1896
-21,0,5785
26,0,2902
29,0,1921
-22,2,6006
32,0,5952
-22,2,3068
-21,0,6104
-18,1,3102
23,3,3036
20,0,5874
-17,0,2799
-20,0,2810
26,0,1877
-18,0,5971
-7,0,6030
-25,0,5888
54,1,5825
