latencia_red,latencia_fog,latencia_blockchain
0,0,4191
-22,0,1473
27,0,1870
-21,0,3630
27,0,2898
27,0,3899
-23,1,3693
2708,0,4765
29,1,1902
7,0,3034
25,1,5985
45,3,2981
7,0,3058
8,7,3051
-17,0,2822
26,0,5884
-20,0,6084
41,3,1904
-16,10,6052
-1,12,5826
28,0,1912
29,0,2913
-24,1,2972
27,0,5926
-18,0,5917
-15,1,6013
30,3,5945
36,6,2970
30,1,2003
-12,2,6120
-19,0,3054
-14,4,5885
37,1,5856
-19,0,2860
31,0,1890
-13,1,5937
27,1,1835
-18,18,5779
-16,2,5864
28,0,2860
-20,0,2975
27,0,5921
-16,1,3075
-22,4,6076
26,0,3035
-21,0,6122
34,0,2024
-21,1,3059
-23,0,3150
27,0,6048
33,25,4835
-21,0,2798
-17,0,2815
-18,0,6017
-20,0,2824
26,0,1912
-11,1,2893
26,1,5855
-1,3,5771
-7,1,2897
26,16,2879
30,1,1888
-9,1,5827
-18,0,3077
26,2,2988
-18,1,6045
5,0,6030
41,2,1998
28,3,6028
-19,0,3093
26,1,1831
-18,0,5944
-17,3,5941
-23,0,2788
-22,5,2851
-17,1,5889
-6,1,5820
25,2,2914
-15,3,3040
-19,0,2998
31,5,5920
28,0,1927
-20,4,6023
-13,1,6020
29,0,1914
-16,0,2991
27,1,2948
-21,2,2993
34,2,5991
-21,0,2825
-16,1,5911
-21,0,2886
25,0,5912
26,1,1898
-19,0,5950
-17,0,2858
-19,2,5892
48,0,5821
-18,0,2872
27,0,1869
50,4,2896
-19,1,5992
-10,0,6041
36,0,2968
-15,0,6049
-18,0,3092
-14,1,3019
30,0,6012
27,0,2027
34,0,5822
-19,1,2819
27,0,1919
-10,1,6022
-20,0,2868
-22,0,6047
-19,1,5835
29,1,2839
32,0,5841
-16,0,2905
-15,1,2931
-21,2,5850
30,3,1919
-21,1,1133
34,0,1950
-21,0,5986
27,0,2971
-16,0,3042
24,0,5980
-17,0,3080
-18,3,6135
-19,0,2799
-23,0,2838
-19,1,2809
31,0,1864
27,0,5904
-4,1,6024
29,0,5803
-13,7,5783
38,0,1801
-20,0,2928
26,0,2819
-15,1,5854
-19,3,2946
27,0,1913
-18,2,6012
32,0,5970
11,1,3034
-15,1,3094
-19,0,6092
32,0,2989
-14,0,1159
-16,9,2746
-17,1,2770
28,0,5825
27,0,1865
-11,2,6016
-20,1,2836
38,1,1828
1,1,5789
-14,2,5787
25,5,2888
26,1,5905
-19,0,3021
-18,1,3011
15,5,6077
30,8,5972
-17,0,1121
27,0,2020
41,1,3006
2,12,6116
-16,0,3091
-21,3,3075
-21,0,2792
-4,2,2787
-22,0,2854
-19,0,6028
29,0,4926
34,0,1936
-20,1,2854
-18,2,5810
28,0,1858
29,0,5887
-20,0,2941
33,5,2907
-6,0,5829
31,0,5905
-18,3,6011
-16,1,2971
-18,2,5981
-21,0,3005
43,1,2996
28,0,2012
-6,0,974
63,1,2974
32,0,2030
-8,2,6137
-15,1,3077
24,0,6067
-13,4,6172
-15,0,3081
-7,2,2691
30,1,1840
-2,0,2793
-4,0,2801
0,2,5914
-14,13,5811
34,1,5954
-16,1,3032
27,3,1982
-13,0,6014
58,5,2983
-20,3,3101
-18,0,6022
-20,0,2858
-6,0,5949
37,1,1930
26,1,5951
-22,3,2881
-6,0,2823
-18,1,5825
28,0,5893
30,23,2884
-8,0,2934
-17,12,5903
27,1,1923
31,0,1995
-3,0,3041
26,5,6033
-20,0,6045
-19,1,6062
37,0,3048
-8,1,3089
28,1,1833
-17,0,2740
-14,1,5981
-14,0,6062
34,0,4907
-13,0,2808
21,1,5702
-19,0,2897
40,6,2849
-20,4,5824
30,5,5852
-20,0,2953
31,3,1898
26,1,1911
54,1,2948
-20,1,3088
-19,1,1120
-21,0,3134
-19,1,6185
-20,0,6191
28,1,6060
60,0,1794
-22,1,5941
-19,6,2816
40,25,4874
-23,1,2833
-21,1,2832
-5,1,5718
-4,1,5760
-19,0,2983
-18,0,3000
34,6,2929
28,0,5942
28,1,1941
29,0,1919
28,2,2985
-14,0,6067
-16,6,6045
-19,0,1158
43,3,6014
-19,1,3065
-19,0,3084
72,8,4802
-18,1,5957
27,1,1885
-21,1,2796
-19,5,2789
-12,5,2783
24,1,5908
-20,7,5696
30,3,2813
30,5,1810
62,1,5786
-20,0,2906
-10,10,2913
-12,1,5837
-18,1,6000
-20,1,6023
38,0,1966
34,5,5998
-17,0,3107
-19,1,3059
38,6,3029
-6,2,5939
-21,1,5997
28,1,5843
58,0,1821
-18,0,2807
-20,1,2831
-21,0,5856
29,1,1846
-14,1,2953
-12,2,5824
-10,0,2946
35,4,2890
28,0,1970
29,3,5978
-17,0,6085
-20,4,3069
39,0,2990
-21,0,3104
-18,0,6120
-18,0,2779
32,0,1843
26,7,4903
-3,0,6055
-15,1,6008
-20,0,2901
-18,1,2870
31,4,2823
-21,1,5798
-17,0,5873
28,0,1901
-17,0,3007
28,0,5954
29,0,5951
-18,0,6004
29,1,2959
-18,1,3073
-20,1,6194
29,0,2050
-20,6,3074
39,0,1986
44,0,6001
-19,1,6206
-21,3,3015
-6,1,6266
-19,0,3061
-9,4,5698
65,3,5777
-13,0,2687
26,0,4884
-17,0,5897
-11,0,2728
31,5,1904
27,0,5926
29,1,2949
-19,0,3036
-19,3,5773
-17,3,3038
28,0,1985
-17,1,5873
-16,0,5905
29,0,5840
-15,0,2845
2,0,6089
31,0,1942
-14,0,2899
-20,1,2863
-17,0,2865
29,8,2827
25,0,5859
39,0,1851
-11,3,5845
-17,0,5860
41,0,2850
-21,3,5943
-17,0,3004
-3,3,1084
29,0,5975
8,2,6075
-18,0,3064
58,3,1939
20,0,5926
28,0,1885
-18,0,2889
-14,2,2904
-16,8,2921
36,3,5930
-14,0,2884
29,1,1869
50,1,2866
8,0,5945
-16,0,5941
-15,0,2915
62,5,5848
-14,0,2977
-20,0,6156
-19,0,1146
28,1,6058
-17,1,3082
31,1,2048
37,4,3048
-11,0,6118
-18,0,5838
-12,6,2718
30,0,1837
-18,0,2792
-15,0,2797
26,1,5799
-9,0,5809
-13,1,2891
-7,0,5745
48,2,2830
-16,0,2970
29,0,1890
44,0,5948
-15,6,6093
-2,0,6153
