latencia_red,latencia_fog,latencia_blockchain
11,0,1154
-14,0,2548
17,0,2848
20,0,1846
17,1,2948
32,0,1942
14763,0,2547
17,1,6026
-21,1,6000
17,0,1850
27,2,5872
-23,1,6048
17,4,5814
18,0,2867
-20,0,5915
-24,1,6065
18,1,1952
15,1,5957
-20,0,6034
-21,1,5865
26,1,1829
17,1,5850
-21,0,2862
-20,5,5811
22,1,5844
20,1,2901
17,1,1909
18,0,6019
19,0,2031
-19,1,6166
-23,1,6146
24,0,4890
18,0,1902
18,0,5909
-15,2,6064
-23,1,5771
-21,1,5826
19,0,5898
31,0,1898
-2,1,5771
25,1,5939
15,1,953
-22,0,1029
20,0,1993
25,0,3017
-16,0,1147
-18,0,2871
20,0,1915
32,0,1851
34,1,5855
-19,0,5902
-20,0,5918
54,1,1894
-20,0,5996
19,0,2979
22,5,5977
20,0,1867
-17,32,5907
-16,6,5945
17,6,5877
18,0,2820
19,0,5825
18,0,1827
-25,0,5927
22,1,5944
-19,0,6050
-18,0,6082
27,1,1999
-20,0,1115
15,0,5836
14,1,1838
-23,0,2869
-19,5,5800
19,0,1857
-22,2,5890
24,3,5895
49,3,5924
52,0,2929
-20,6,6040
-21,0,1130
22,1,2002
-10,2,5912
21,0,5897
18,0,1903
18,4,4903
-12,0,5728
20,0,1858
-23,1,5794
18,1,5906
18,0,1983
17,0,5987
-19,0,6134
18,4,3033
-23,1,6007
18,0,5851
15,0,4854
-19,0,6021
19,0,2833
20,0,5835
-10,1,5720
52,0,1835
24,7,1934
18,0,6006
-20,0,6179
-20,1,6121
17,3,5825
8,0,5893
18,0,1914
20,0,4913
-21,1,5792
-18,11,5794
22,1,5910
25,0,1914
15,1,5986
-21,0,6134
21,1,3020
-23,0,1108
29,0,2027
18,0,1885
18,0,5887
-23,1,5959
-21,7,5767
-21,4,5817
37,0,5868
19,1,1885
27,0,2964
-21,0,6041
19,0,2019
23,1,6015
-21,1,5966
18,7,5894
-19,0,6041
19,1,1915
18,0,2819
-22,1,5829
18,1,5875
19,0,1877
-19,0,6079
18,0,2018
28,3,6007
-19,0,1116
15,0,1046
-13,0,6154
-24,0,2797
40,2,4849
22,0,1872
20,1,5866
-19,7,5817
-22,0,5836
30,1,1898
20,1,1979
16,1,5993
19,0,3026
-4,0,6106
50,12,5838
-8,40,5892
15,1,4919
-21,0,5961
20,0,5822
-23,0,5759
20,0,2877
19,0,1881
-21,1,6068
-11,2,6089
20,0,2088
27,0,6086
20,1,1837
20,0,838
37,0,5839
36,0,4842
-24,0,6068
-20,9,5796
-18,2,5793
18,0,1894
27,1,2923
-21,1,5976
22,3,1942
25,2,5943
19,0,1823
20,0,5825
-20,0,5977
-21,4,5964
20,0,1825
19,0,2830
-20,1,5887
24,5,5870
-22,0,6094
-24,0,6116
18,2,6003
-25,3,1097
35,0,2004
16,0,5853
26,9,4834
-22,0,2831
55,0,1863
22,0,1840
19,0,5864
-23,3,5849
-18,6,5841
21,0,5951
-19,5,6048
19,0,2966
19,1,1966
-17,0,5899
24,2,5847
22,3,1895
-16,0,5976
19,0,5809
-22,1,5855
22,0,2868
21,1,1898
41,2,5924
-23,0,5992
-19,0,6076
24,0,1966
-17,1,5957
17,1,5896
17,0,2899
19,0,1918
23,2,5831
-10,1,5835
-7,3,5836
19,0,1854
25,0,2857
20,0,5862
-1,0,5982
22,0,1935
-23,0,6068
21,2,5949
19,1,1955
-24,0,6123
-4,0,5887
21,7,5921
35,0,1909
18,1,6045
20,0,2050
4,0,5998
-20,1,6084
-20,5,6029
17,0,5902
20,19,4889
